levantar,ascender, surgir|arise|arose|arisen|
|despertar|awake|awakened / awoke|awakened / awoken
B||||
|recaer, reincidir|backslide|backslid|backslidden / backslid
|ser,estar|be|was, were|been
|aguantar, soportar,dar fruita, llevar|bear|bore|born / borne
|golpear, vencer, batir, latir|beat|beat|beaten / beat
|convertirse, volverse, llegar a ser|become|became|become
|empezar, comenzar|begin|began|begun
|doblar, torcer, curvar|bend|bent|bent
|apostar|bet|bet / betted|bet / betted
|despedir, decir adios|bid (goodbye)|bid / bade|bidden
|apostar, ofrecer en subasta|bid (in an auction)|bid|bid
|atar, amarrar, obligar|bind|bound|bound
|morder, picar|bite|bit|bitten
|sangrar|bleed|bled|bled
|soplar, sonar, tocar|blow|blew|blown
|romper,quebrar|break|broke|broken
|criar, engendrar ,producir|breed|bred|bred
|traer, llevar|bring|brought|brought
|transmitir, divulgar, diseminar|broadcast|broadcast / broadcasted|broadcast / broadcasted
|intimidar|browbeat|browbeat|browbeaten / browbeat
|construir|build|built|built
|quemar, consumir|burn|burned / burnt|burned / burnt
|reventar, explotar|burst|burst|burst
|reventar, romper, arder|bust|busted / bust|busted / bust
|comprar|buy|bought|bought
C||||
|tirar,lanzar,asignar, moldear|cast|cast|cast
|agarrar, atrapar,captar, engancharse|catch|caught|caught
|escojer, elegir, decidir|choose|chose|chosen
|adherirse, pegarse, aferrarse, agarrarse|cling|clung|clung
|vestirse, ponerse ropa, arropar|clothe|clothed / clad|clothed / clad
|venir, llegar, provenir|come|came|come
|costar|cost|cost|cost
|arrastrarse, gatear, mover lentamente|creep|crept|crept
|cruzar razas|crossbreed|crossbred|crossbred
|cortar, reducir, rebajar|cut|cut|cut
D||||
|soñar despierto|daydream|daydreamed / daydreamt|daydreamed / daydreamt
|tratar con, negociar, repartir|deal|dealt|dealt
|cavar, excavar|dig|dug|dug
|refutar|disprove|disproved|disproved / disproven
|sumergirse, tirarse al agua|dive (jump head-first)|dove / dived|dived
|buscear|dive (scuba diving)|dived / dove|dived
|hacer|do|did|done
|dibujar|draw|drew|drawn
|soñar|dream|dreamed / dreamt|dreamed / dreamt
|tomar, beber|drink|drank|drunk
|manejar, conducir, impulsar|drive|drove|driven
|residir, vivir|dwell|dwelt / dwelled|dwelt / dwelled
E||||
|comer, consumir, devorar|eat|ate|eaten
F||||
|caer|fall|fell|fallen
|alimentar, nutrir|feed|fed|fed
|sentir, tocar|feel|felt|felt
|luchar, pelear, combatir|fight|fought|fought
|encontrar, hallar, descubrir, declarar|find|found|found
|ajustar, quedar, entallar|fit (tailor, change size)|fitted / fit|fitted / fit
|encajar, cuadrar, corresponder a, coincidir con|fit(be right size)|fit / fitted|fit / fitted
|huir, escapar|flee|fled|fled
|lanzar, tirar, arrojar|fling|flung|flung
|volar|fly|flew|flown
|prohibir, impedir|forbid|forbade|forbidden
