be [bi:]|was [wɔz], were [wз:]|been [bi:n]|Быть
beat [bi:t]|beat [bi:t]|beaten ['bi:tn]|Бить
become [bi:kʌm]|became [bi:keim]|become[bi:kʌm]|Становиться
begin [bi'gin]|began [bi'gæn]|begun [bi'gʌn]|Начинать
bleed [bli:d]|bled [bled]|bled [bled]|Кровоточить
blow [blou]|blew [blu:]|blown [bloun]|Дуть
break [breik]|broke [brouk]|broken ['brouk(e)n]|Ломать
bring [briŋ]|brought [brɔ:t]|brought [brɔ:t]|Приносить
build [bild]|built [bilt]|built [bilt]|Строить
burn [bз:n]|burnt [bз:nt]|burnt [bз:nt]|Гореть
burst [bз:st]|burst [bз:st]|burst [bз:st]|Разразиться
buy [bai]|bought [bɔ:t]|bought [bɔ:t]|Покупать
catch [kætʃ]|caught [kɔ:t]|caught [kɔ:t]|Ловить, хватать, успеть
choose [tʃu:z]|chose [ʃəuz]|chosen [tʃəuz(ə)n]|Выбирать
come [kʌm]|came [keim]|come [kʌm]|Приходить
cost [cɔst]|cost [cɔst]|cost [cɔst]|Стоить
creep [kri:p]|crept [krept]|crept [krept]|Ползать
cut [kʌt]|cut [kʌt]|cut [kʌt]|Резать
do [du:]|did [did]|done [dʌn]|Делать
draw [drɔ:]|drew [dru:]|drawn [drɔ:n]|Рисовать, тащить
dream [dri:m]|dreamt [dremt]|dreamt [dremt]|Мечтать, дремать
drink [driŋk]|drank [dræŋk]|drunk [drʌŋk]|Пить
drive [draiv]|drove [drouv]|driven ['drivn]|Водить
eat [i:t]|ate [et]|eaten ['i:tn]|Есть
fall [fɔ:l]|fell [fel]|fallen ['fɔ:lən]|Падать
feed [fi:d]|fed [fed]|fed [fed]|Кормить
feel [fi:l]|felt [felt]|felt [felt]|Чувствовать
fight [fait]|fought [fɔ:t]|fought [fɔ:t]|Бороться
find [faind]|found [faund]|found [faund]|Находить
fit [fit]|fit [fit]|fit [fit]|Подходить по размеру
fly [flai]|flew [flu:]|flown [floun]|Летать
forget [fə'get]|forgot [fə'gɔt]|forgotten [fə'gɔt(ə)n]|Забывать
forgive [fo'giv]|forgave [fo'geiv]|forgiven [fo'givn]|Прощать
freeze [fri:z]|froze [frouz]|frozen ['frouzn]|Замерзать
get [ get ]|got [gɔt]|got [gɔt]|Получать
give [giv]|gave [geiv]|given [givn]|Давать
go [gou]|went [went]|gone [gɔn]|Идти
grow [grou]|grew [gru:]|grown [groun]|Расти
hang [hæŋ]|hung [hʌŋ]|hung [hʌŋ]|Вешать
have [hæv]|had [hæd]|had [hæd]|Иметь
hear [hiə]|heard [hз:d]|heard [hз:d]|Слышать
hide [haid]|hid [hid]|hidden ['hidn]|Прятать
hit [hit]|hit [hit]|hit [hit]|Попадать в цель
hold [hould]|held [held]|held [held]|Держать
hurt [hз:t]|hurt [hз:t]|hurt [hз:t]|Ушибить
keep [ki:p]|kept [kept]|kept [kept]|Содержать
kneel [ni:l]|knelt [nelt]|knelt [nelt]|Стоять на коленях
know [nou]|knew [nju:]|known [noun]|Знать
lay [lei]|laid [leid]|laid [leid]|Класть
lead [li:d]|led [led]|led [led]|Вести
lean [li:n]|leant [lent]|leant [lent]|Наклоняться
learn [lз:n]|learnt [lз:nt]|learnt [lз:nt]|Учить
leave [li:v]|left [left]|left [left]|Оставлять
lend [lend]|lent [lent]|lent [lent]|Занимать
let [let]|let [let]|let [let]|Позволять
lie [lai]|lay [lei]|lain [lein]|Лежать
light [lait]|lit [lit]|lit [lit]|Освещать
lose [lu:z]|lost [lɔst]|lost [lɔst]|Терять
make [meik]|made [meid]|made [meid]|Производить
mean [mi:n]|meant [ment]|meant [ment]|Значить
meet [mi:t]|met [met]|met [met]|Встречать
mistake [mis'teik]|mistook [mis'tuk]|mistaken [mis'teik(e)n]|Ошибаться
pay [pei]|paid [peid]|paid [peid]|Платить
prove [pru:v]|proved [pru:vd]|proven [pru:vn]|Доказывать
put [put]|put [put]|put [put]|Положить
quit [kwit]|quit [kwit]|quit [kwit]|Выходить
read [ri:d]|read [red]|read [red]|Читать
ride [raid]|rode [roud]|ridden ['ridn]|Ездить верхом
ring [riŋ]|rang [ræŋ]|rung [rʌŋ]|Звенеть
rise [raiz]|rose [rouz]|risen ['rizn]|Подниматься
run [rʌŋ]|ran [ræŋ]|run [rʌŋ]|Бежать
say [sei]|said [sed]|said [sed]|Говорить
see [si:]|saw [sɔ:]|seen [si:n]|Видеть
seek [si:k]|sought [sɔ:t]|sought [sɔ:t]|Искать
sell [sel]|sold [sould]|sold [sould]|Продавать
send [send]|sent [sent]|sent [sent]|Посылать
set [set]|set [set]|set [set]|Ставить
sew [sou]|sewed [soud]|sewn [soun]|Шить
shake [ʃeik]|shook [ʃuk]|shaken ['ʃeik(ə)n]|Встряхивать
show [ʃəu]|showed [ʃəud]|shown [ʃəun]|Показывать
shrink [ʃriŋk]|shrank [ʃræŋk]|shrunk [ʃrʌŋk]|Уменьшать
shut [ʃʌt]|shut [ʃʌt]|shut [ʃʌt]|Закрывать
sing [siŋ]|sang [sæŋ]|sung [sʌŋ]|Петь
sink [siŋk]|sank [sæŋk], sunk [sʌŋk]|sunk [sʌŋk]|Тонуть
sit [sit]|sat [sæt]|sat [sæt]|Сидеть
sleep [sli:p]|slept [slept]|slept [slept]|Спать
slide [slaid]|slid [slid]|slid [slid]|Скользить
sow [sou]|sowed [soud]|sown [soun]|Сеять
speak [spi:k]|spoke [spouk]|spoken ['spouk(e)n]|Говорить
spell [spel]|spelt [spelt]|spelt [spelt]|Произносить по буквам
spend [spend]|spent [spent]|spent [spent]|Тратить
spill [spil]|spilt [spilt]|spilt [spilt]|Проливать
spoil [spɔil]|spoilt [spɔilt]|spoilt [spɔilt]|Портить
spread [spred]|spread [spred]|spread [spred]|Расстилать
spring [spriŋ]|sprang [spræŋ]|sprung [sprʌŋ]|Прыгать
stand [stænd]|stood [stu:d]|stood [stu:d]|Стоять
steal [sti:l]|stole [stoul]|stolen ['stəulən]|Красть
stick [stik]|stuck [stʌk]|stuck [stʌk]|Колоть
sting [stiŋ]|stung [stʌŋ]|stung [stʌŋ]|Жалить
sweep [swi:p]|swept [swept]|swept [swept]|Выметать
swell [swel]|swelled [sweld]|swollen ['swoul(e)n]|Разбухать
swim [swim]|swam [swem]|swum [swʌm]|Плавать
swing [swiŋ]|swung [swʌŋ]|swung [swʌŋ]|Качать
take [teik]|took [tuk]|taken ['teik(ə)n]|Брать, взять
teach [ti:tʃ]|taught [tɔ:t]|taught [tɔ:t]|Учить
tear [tɛə]|tore [tɔ:]|torn [tɔ:n]|Рвать
tell [tel]|told [tould]|told [tould]|Рассказывать
think [θiŋk]|thought [θɔ:t]|thought [θɔ:t]|Думать
throw [θrəu]|threw [θru:]|thrown [θrəun]|Бросать
understand [ʌndə'stænd]|understood [ʌndə'stud]|understood [ʌndə'stud]|Понимать
wake [weik]|woke [wouk]|woken ['wouk(e)n]|Просыпаться
wear [wɛə]|wore [wɔ:]|worn [wɔ:n]|Носить
weep [wi:p]|wept [wept]|wept [wept]|Плакать
wet [wet]|wet [wet]|wet [wet]|Мочить
win [win]|won [wʌn]|won [wʌn]|Выигрывать
wind [waind]|wound [waund]|wound [waund]|Извиваться
write [rait]|wrote [rout]|written ['ritn]|Писать
